direction_color,rowDate,rowDateRaw,rowDateTimestamp,last_close,last_open,last_max,last_min,volume,volumeRaw,change_precent,last_closeRaw,last_openRaw,last_maxRaw,last_minRaw,change_precentRaw
,,,2000-01-01,,,,,,,,,,,,
,,,2000-01-02,,,,,,,,,,,,
redFont,"Jan 03, 2000",946857600,2000-01-03,22.525,22.525,22.525,22.525,,0,0.00,22.52499961853027,22.52499961853027,22.52499961853027,22.52499961853027,0
redFont,"Jan 04, 2000",946944000,2000-01-04,22.525,22.525,22.525,22.525,,0,0.00,22.52499961853027,22.52499961853027,22.52499961853027,22.52499961853027,0
redFont,"Jan 05, 2000",947030400,2000-01-05,22.525,22.525,22.525,22.525,,0,0.00,22.52499961853027,22.52499961853027,22.52499961853027,22.52499961853027,0
redFont,"Jan 06, 2000",947116800,2000-01-06,22.525,22.525,22.525,22.525,,0,0.00,22.52499961853027,22.52499961853027,22.52499961853027,22.52499961853027,0
greenFont,"Jan 07, 2000",947203200,2000-01-07,22.530,22.530,22.530,22.530,,0,0.02,22.53000068664551,22.53000068664551,22.53000068664551,22.53000068664551,0.02220230055465721
,,,2000-01-08,,,,,,,,,,,,
,,,2000-01-09,,,,,,,,,,,,
redFont,"Jan 10, 2000",947462400,2000-01-10,22.530,22.530,22.530,22.530,,0,0.00,22.53000068664551,22.53000068664551,22.53000068664551,22.53000068664551,0
redFont,"Jan 11, 2000",947548800,2000-01-11,22.530,22.530,22.530,22.530,,0,0.00,22.53000068664551,22.53000068664551,22.53000068664551,22.53000068664551,0
redFont,"Jan 12, 2000",947635200,2000-01-12,22.530,22.530,22.530,22.530,,0,0.00,22.53000068664551,22.53000068664551,22.53000068664551,22.53000068664551,0
greenFont,"Jan 13, 2000",947721600,2000-01-13,22.536,22.536,22.536,22.536,,0,0.03,22.53599929809570,22.53599929809570,22.53599929809570,22.53599929809570,0.026624994528934208
redFont,"Jan 14, 2000",947808000,2000-01-14,22.536,22.536,22.536,22.536,,0,0.00,22.53599929809570,22.53599929809570,22.53599929809570,22.53599929809570,0
,,,2000-01-15,,,,,,,,,,,,
,,,2000-01-16,,,,,,,,,,,,
redFont,"Jan 17, 2000",948067200,2000-01-17,22.536,22.536,22.536,22.536,,0,0.00,22.53599929809570,22.53599929809570,22.53599929809570,22.53599929809570,0
redFont,"Jan 18, 2000",948153600,2000-01-18,22.536,22.536,22.536,22.536,,0,0.00,22.53599929809570,22.53599929809570,22.53599929809570,22.53599929809570,0
redFont,"Jan 19, 2000",948240000,2000-01-19,22.536,22.536,22.536,22.536,,0,0.00,22.53599929809570,22.53599929809570,22.53599929809570,22.53599929809570,0
redFont,"Jan 20, 2000",948326400,2000-01-20,22.536,22.536,22.536,22.536,,0,0.00,22.53599929809570,22.53599929809570,22.53599929809570,22.53599929809570,0
redFont,"Jan 21, 2000",948412800,2000-01-21,22.536,22.536,22.536,22.536,,0,0.00,22.53599929809570,22.53599929809570,22.53599929809570,22.53599929809570,0
,,,2000-01-22,,,,,,,,,,,,
,,,2000-01-23,,,,,,,,,,,,
greenFont,"Jan 24, 2000",948672000,2000-01-24,22.596,22.596,22.596,22.596,,0,0.27,22.59600067138672,22.59600067138672,22.59600067138672,22.59600067138672,0.26624678363425985
redFont,"Jan 25, 2000",948758400,2000-01-25,22.596,22.596,22.596,22.596,,0,0.00,22.59600067138672,22.59600067138672,22.59600067138672,22.59600067138672,0
redFont,"Jan 26, 2000",948844800,2000-01-26,22.596,22.596,22.596,22.596,,0,0.00,22.59600067138672,22.59600067138672,22.59600067138672,22.59600067138672,0
redFont,"Jan 27, 2000",948931200,2000-01-27,22.596,22.596,22.596,22.596,,0,0.00,22.59600067138672,22.59600067138672,22.59600067138672,22.59600067138672,0
redFont,"Jan 28, 2000",949017600,2000-01-28,22.596,22.596,22.596,22.596,,0,0.00,22.59600067138672,22.59600067138672,22.59600067138672,22.59600067138672,0
,,,2000-01-29,,,,,,,,,,,,
,,,2000-01-30,,,,,,,,,,,,
redFont,"Jan 31, 2000",949276800,2000-01-31,22.596,22.596,22.596,22.596,,0,0.00,22.59600067138672,22.59600067138672,22.59600067138672,22.59600067138672,0
redFont,"Feb 01, 2000",949363200,2000-02-01,22.596,22.596,22.596,22.596,,0,0.00,22.59600067138672,22.59600067138672,22.59600067138672,22.59600067138672,0
redFont,"Feb 02, 2000",949449600,2000-02-02,22.582,22.582,22.582,22.582,,0,-0.06,22.58200073242188,22.58200073242188,22.58200073242188,22.58200073242188,-0.06195759669350824
redFont,"Feb 03, 2000",949536000,2000-02-03,22.582,22.582,22.582,22.582,,0,0.00,22.58200073242188,22.58200073242188,22.58200073242188,22.58200073242188,0
redFont,"Feb 04, 2000",949622400,2000-02-04,22.582,22.582,22.582,22.582,,0,0.00,22.58200073242188,22.58200073242188,22.58200073242188,22.58200073242188,0
,,,2000-02-05,,,,,,,,,,,,
,,,2000-02-06,,,,,,,,,,,,
redFont,"Feb 07, 2000",949881600,2000-02-07,22.582,22.582,22.582,22.582,,0,0.00,22.58200073242188,22.58200073242188,22.58200073242188,22.58200073242188,0
redFont,"Feb 08, 2000",949968000,2000-02-08,22.582,22.582,22.582,22.582,,0,0.00,22.58200073242188,22.58200073242188,22.58200073242188,22.58200073242188,0
greenFont,"Feb 09, 2000",950054400,2000-02-09,22.893,22.893,22.893,22.893,,0,1.38,22.89299964904785,22.89299964904785,22.89299964904785,22.89299964904785,1.3771982399214941
redFont,"Feb 10, 2000",950140800,2000-02-10,22.893,22.893,22.893,22.893,,0,0.00,22.89299964904785,22.89299964904785,22.89299964904785,22.89299964904785,0
redFont,"Feb 11, 2000",950227200,2000-02-11,22.893,22.893,22.893,22.893,,0,0.00,22.89299964904785,22.89299964904785,22.89299964904785,22.89299964904785,0
,,,2000-02-12,,,,,,,,,,,,
,,,2000-02-13,,,,,,,,,,,,
redFont,"Feb 14, 2000",950486400,2000-02-14,22.893,22.893,22.893,22.893,,0,0.00,22.89299964904785,22.89299964904785,22.89299964904785,22.89299964904785,0
redFont,"Feb 15, 2000",950572800,2000-02-15,22.893,22.893,22.893,22.893,,0,0.00,22.89299964904785,22.89299964904785,22.89299964904785,22.89299964904785,0
redFont,"Feb 16, 2000",950659200,2000-02-16,22.893,22.893,22.893,22.893,,0,0.00,22.89299964904785,22.89299964904785,22.89299964904785,22.89299964904785,0
redFont,"Feb 17, 2000",950745600,2000-02-17,22.893,22.893,22.893,22.893,,0,0.00,22.89299964904785,22.89299964904785,22.89299964904785,22.89299964904785,0
greenFont,"Feb 18, 2000",950832000,2000-02-18,23.115,23.115,23.115,23.115,,0,0.97,23.11499977111816,23.11499977111816,23.11499977111816,23.11499977111816,0.9697292861293614
,,,2000-02-19,,,,,,,,,,,,
,,,2000-02-20,,,,,,,,,,,,
redFont,"Feb 21, 2000",951091200,2000-02-21,23.115,23.115,23.115,23.115,,0,0.00,23.11499977111816,23.11499977111816,23.11499977111816,23.11499977111816,0
greenFont,"Feb 22, 2000",951177600,2000-02-22,23.124,23.124,23.124,23.124,,0,0.04,23.12400054931641,23.12400054931641,23.12400054931641,23.12400054931641,0.03893912302562783
redFont,"Feb 23, 2000",951264000,2000-02-23,23.124,23.124,23.124,23.124,,0,0.00,23.12400054931641,23.12400054931641,23.12400054931641,23.12400054931641,0
redFont,"Feb 24, 2000",951350400,2000-02-24,23.124,23.124,23.124,23.124,,0,0.00,23.12400054931641,23.12400054931641,23.12400054931641,23.12400054931641,0
redFont,"Feb 25, 2000",951436800,2000-02-25,23.124,23.124,23.124,23.124,,0,0.00,23.12400054931641,23.12400054931641,23.12400054931641,23.12400054931641,0
,,,2000-02-26,,,,,,,,,,,,
,,,2000-02-27,,,,,,,,,,,,
redFont,"Feb 28, 2000",951696000,2000-02-28,23.124,23.124,23.124,23.124,,0,0.00,23.12400054931641,23.12400054931641,23.12400054931641,23.12400054931641,0
redFont,"Feb 29, 2000",951782400,2000-02-29,23.124,23.124,23.124,23.124,,0,0.00,23.12400054931641,23.12400054931641,23.12400054931641,23.12400054931641,0
redFont,"Mar 01, 2000",951868800,2000-03-01,23.124,23.124,23.124,23.124,,0,0.00,23.12400054931641,23.12400054931641,23.12400054931641,23.12400054931641,0
redFont,"Mar 02, 2000",951955200,2000-03-02,23.124,23.124,23.124,23.124,,0,0.00,23.12400054931641,23.12400054931641,23.12400054931641,23.12400054931641,0
redFont,"Mar 03, 2000",952041600,2000-03-03,23.124,23.124,23.124,23.124,,0,0.00,23.12400054931641,23.12400054931641,23.12400054931641,23.12400054931641,0
,,,2000-03-04,,,,,,,,,,,,
,,,2000-03-05,,,,,,,,,,,,
redFont,"Mar 06, 2000",952300800,2000-03-06,23.124,23.124,23.124,23.124,,0,0.00,23.12400054931641,23.12400054931641,23.12400054931641,23.12400054931641,0
redFont,"Mar 07, 2000",952387200,2000-03-07,23.124,23.124,23.124,23.124,,0,0.00,23.12400054931641,23.12400054931641,23.12400054931641,23.12400054931641,0
redFont,"Mar 08, 2000",952473600,2000-03-08,23.124,23.124,23.124,23.124,,0,0.00,23.12400054931641,23.12400054931641,23.12400054931641,23.12400054931641,0
redFont,"Mar 09, 2000",952560000,2000-03-09,23.124,23.124,23.124,23.124,,0,0.00,23.12400054931641,23.12400054931641,23.12400054931641,23.12400054931641,0
greenFont,"Mar 10, 2000",952646400,2000-03-10,23.204,23.204,23.204,23.204,,0,0.35,23.20400047302246,23.20400047302246,23.20400047302246,23.20400047302246,0.3459605682651486
,,,2000-03-11,,,,,,,,,,,,
,,,2000-03-12,,,,,,,,,,,,
redFont,"Mar 13, 2000",952905600,2000-03-13,23.204,23.204,23.204,23.204,,0,0.00,23.20400047302246,23.20400047302246,23.20400047302246,23.20400047302246,0
redFont,"Mar 14, 2000",952992000,2000-03-14,23.204,23.204,23.204,23.204,,0,0.00,23.20400047302246,23.20400047302246,23.20400047302246,23.20400047302246,0
redFont,"Mar 15, 2000",953078400,2000-03-15,23.204,23.204,23.204,23.204,,0,0.00,23.20400047302246,23.20400047302246,23.20400047302246,23.20400047302246,0
redFont,"Mar 16, 2000",953164800,2000-03-16,23.204,23.204,23.204,23.204,,0,0.00,23.20400047302246,23.20400047302246,23.20400047302246,23.20400047302246,0
redFont,"Mar 17, 2000",953251200,2000-03-17,23.204,23.204,23.204,23.204,,0,0.00,23.20400047302246,23.20400047302246,23.20400047302246,23.20400047302246,0
,,,2000-03-18,,,,,,,,,,,,
,,,2000-03-19,,,,,,,,,,,,
redFont,"Mar 20, 2000",953510400,2000-03-20,23.204,23.204,23.204,23.204,,0,0.00,23.20400047302246,23.20400047302246,23.20400047302246,23.20400047302246,0
redFont,"Mar 21, 2000",953596800,2000-03-21,23.204,23.204,23.204,23.204,,0,0.00,23.20400047302246,23.20400047302246,23.20400047302246,23.20400047302246,0
redFont,"Mar 22, 2000",953683200,2000-03-22,23.204,23.204,23.204,23.204,,0,0.00,23.20400047302246,23.20400047302246,23.20400047302246,23.20400047302246,0
greenFont,"Mar 23, 2000",953769600,2000-03-23,23.243,23.243,23.243,23.243,,0,0.17,23.24300003051758,23.24300003051758,23.24300003051758,23.24300003051758,0.16807255947293476
redFont,"Mar 24, 2000",953856000,2000-03-24,23.243,23.243,23.243,23.243,,0,0.00,23.24300003051758,23.24300003051758,23.24300003051758,23.24300003051758,0
,,,2000-03-25,,,,,,,,,,,,
,,,2000-03-26,,,,,,,,,,,,
greenFont,"Mar 27, 2000",954115200,2000-03-27,23.252,23.252,23.252,23.252,,0,0.04,23.25200080871582,23.25200080871582,23.25200080871582,23.25200080871582,0.03872468350221915
redFont,"Mar 28, 2000",954201600,2000-03-28,23.252,23.252,23.252,23.252,,0,0.00,23.25200080871582,23.25200080871582,23.25200080871582,23.25200080871582,0
redFont,"Mar 29, 2000",954288000,2000-03-29,23.252,23.252,23.252,23.252,,0,0.00,23.25200080871582,23.25200080871582,23.25200080871582,23.25200080871582,0
redFont,"Mar 30, 2000",954374400,2000-03-30,23.252,23.252,23.252,23.252,,0,0.00,23.25200080871582,23.25200080871582,23.25200080871582,23.25200080871582,0
redFont,"Mar 31, 2000",954460800,2000-03-31,23.252,23.252,23.252,23.252,,0,0.00,23.25200080871582,23.25200080871582,23.25200080871582,23.25200080871582,0
,,,2000-04-01,,,,,,,,,,,,
,,,2000-04-02,,,,,,,,,,,,
redFont,"Apr 03, 2000",954720000,2000-04-03,23.252,23.252,23.252,23.252,,0,0.00,23.25200080871582,23.25200080871582,23.25200080871582,23.25200080871582,0
redFont,"Apr 04, 2000",954806400,2000-04-04,23.252,23.252,23.252,23.252,,0,0.00,23.25200080871582,23.25200080871582,23.25200080871582,23.25200080871582,0
redFont,"Apr 05, 2000",954892800,2000-04-05,23.252,23.252,23.252,23.252,,0,0.00,23.25200080871582,23.25200080871582,23.25200080871582,23.25200080871582,0
redFont,"Apr 06, 2000",954979200,2000-04-06,23.252,23.252,23.252,23.252,,0,0.00,23.25200080871582,23.25200080871582,23.25200080871582,23.25200080871582,0
redFont,"Apr 07, 2000",955065600,2000-04-07,23.252,23.252,23.252,23.252,,0,0.00,23.25200080871582,23.25200080871582,23.25200080871582,23.25200080871582,0
,,,2000-04-08,,,,,,,,,,,,
,,,2000-04-09,,,,,,,,,,,,
redFont,"Apr 10, 2000",955324800,2000-04-10,23.252,23.252,23.252,23.252,,0,0.00,23.25200080871582,23.25200080871582,23.25200080871582,23.25200080871582,0
redFont,"Apr 11, 2000",955411200,2000-04-11,23.252,23.252,23.252,23.252,,0,0.00,23.25200080871582,23.25200080871582,23.25200080871582,23.25200080871582,0
greenFont,"Apr 12, 2000",955497600,2000-04-12,23.386,23.386,23.386,23.386,,0,0.58,23.38599967956543,23.38599967956543,23.38599967956543,23.38599967956543,0.5762896361132974
redFont,"Apr 13, 2000",955584000,2000-04-13,23.386,23.386,23.386,23.386,,0,0.00,23.38599967956543,23.38599967956543,23.38599967956543,23.38599967956543,0
redFont,"Apr 14, 2000",955670400,2000-04-14,23.386,23.386,23.386,23.386,,0,0.00,23.38599967956543,23.38599967956543,23.38599967956543,23.38599967956543,0
,,,2000-04-15,,,,,,,,,,,,
,,,2000-04-16,,,,,,,,,,,,
redFont,"Apr 17, 2000",955929600,2000-04-17,23.386,23.386,23.386,23.386,,0,0.00,23.38599967956543,23.38599967956543,23.38599967956543,23.38599967956543,0
redFont,"Apr 18, 2000",956016000,2000-04-18,23.386,23.386,23.386,23.386,,0,0.00,23.38599967956543,23.38599967956543,23.38599967956543,23.38599967956543,0
redFont,"Apr 19, 2000",956102400,2000-04-19,23.386,23.386,23.386,23.386,,0,0.00,23.38599967956543,23.38599967956543,23.38599967956543,23.38599967956543,0
redFont,"Apr 20, 2000",956188800,2000-04-20,23.386,23.386,23.386,23.386,,0,0.00,23.38599967956543,23.38599967956543,23.38599967956543,23.38599967956543,0
redFont,"Apr 21, 2000",956275200,2000-04-21,23.295,23.295,23.295,23.295,,0,-0.39,23.29500007629395,23.29500007629395,23.29500007629395,23.29500007629395,-0.3891200056373721
,,,2000-04-22,,,,,,,,,,,,
,,,2000-04-23,,,,,,,,,,,,
redFont,"Apr 24, 2000",956534400,2000-04-24,23.295,23.295,23.295,23.295,,0,0.00,23.29500007629395,23.29500007629395,23.29500007629395,23.29500007629395,0
redFont,"Apr 25, 2000",956620800,2000-04-25,23.295,23.295,23.295,23.295,,0,0.00,23.29500007629395,23.29500007629395,23.29500007629395,23.29500007629395,0
redFont,"Apr 26, 2000",956707200,2000-04-26,23.295,23.295,23.295,23.295,,0,0.00,23.29500007629395,23.29500007629395,23.29500007629395,23.29500007629395,0
redFont,"Apr 27, 2000",956793600,2000-04-27,23.295,23.295,23.295,23.295,,0,0.00,23.29500007629395,23.29500007629395,23.29500007629395,23.29500007629395,0
redFont,"Apr 28, 2000",956880000,2000-04-28,23.295,23.295,23.295,23.295,,0,0.00,23.29500007629395,23.29500007629395,23.29500007629395,23.29500007629395,0
,,,2000-04-29,,,,,,,,,,,,
,,,2000-04-30,,,,,,,,,,,,
redFont,"May 01, 2000",957139200,2000-05-01,23.295,23.295,23.295,23.295,,0,0.00,23.29500007629395,23.29500007629395,23.29500007629395,23.29500007629395,0
redFont,"May 02, 2000",957225600,2000-05-02,23.295,23.295,23.295,23.295,,0,0.00,23.29500007629395,23.29500007629395,23.29500007629395,23.29500007629395,0
redFont,"May 03, 2000",957312000,2000-05-03,23.295,23.295,23.295,23.295,,0,0.00,23.29500007629395,23.29500007629395,23.29500007629395,23.29500007629395,0
redFont,"May 04, 2000",957398400,2000-05-04,23.295,23.295,23.295,23.295,,0,0.00,23.29500007629395,23.29500007629395,23.29500007629395,23.29500007629395,0
redFont,"May 05, 2000",957484800,2000-05-05,23.295,23.295,23.295,23.295,,0,0.00,23.29500007629395,23.29500007629395,23.29500007629395,23.29500007629395,0
,,,2000-05-06,,,,,,,,,,,,
,,,2000-05-07,,,,,,,,,,,,
