date,open,high,low,close
2000-01-03,22.525,22.525,22.525,22.525
2000-01-04,22.525,22.525,22.525,22.525
2000-01-05,22.525,22.525,22.525,22.525
2000-01-06,22.525,22.525,22.525,22.525
2000-01-07,22.53,22.53,22.53,22.53
2000-01-10,22.53,22.53,22.53,22.53
2000-01-11,22.53,22.53,22.53,22.53
2000-01-12,22.53,22.53,22.53,22.53
2000-01-13,22.536,22.536,22.536,22.536
2000-01-14,22.536,22.536,22.536,22.536
2000-01-17,22.536,22.536,22.536,22.536
2000-01-18,22.536,22.536,22.536,22.536
2000-01-19,22.536,22.536,22.536,22.536
2000-01-20,22.536,22.536,22.536,22.536
2000-01-21,22.536,22.536,22.536,22.536
2000-01-24,22.596,22.596,22.596,22.596
2000-01-25,22.596,22.596,22.596,22.596
2000-01-26,22.596,22.596,22.596,22.596
2000-01-27,22.596,22.596,22.596,22.596
2000-01-28,22.596,22.596,22.596,22.596
2000-01-31,22.596,22.596,22.596,22.596
2000-02-01,22.596,22.596,22.596,22.596
2000-02-02,22.582,22.582,22.582,22.582
2000-02-03,22.582,22.582,22.582,22.582
2000-02-04,22.582,22.582,22.582,22.582
2000-02-07,22.582,22.582,22.582,22.582
2000-02-08,22.582,22.582,22.582,22.582
2000-02-09,22.893,22.893,22.893,22.893
2000-02-10,22.893,22.893,22.893,22.893
2000-02-11,22.893,22.893,22.893,22.893
2000-02-14,22.893,22.893,22.893,22.893
2000-02-15,22.893,22.893,22.893,22.893
2000-02-16,22.893,22.893,22.893,22.893
2000-02-17,22.893,22.893,22.893,22.893
2000-02-18,23.115,23.115,23.115,23.115
2000-02-21,23.115,23.115,23.115,23.115
2000-02-22,23.124,23.124,23.124,23.124
2000-02-23,23.124,23.124,23.124,23.124
2000-02-24,23.124,23.124,23.124,23.124
2000-02-25,23.124,23.124,23.124,23.124
2000-02-28,23.124,23.124,23.124,23.124
2000-02-29,23.124,23.124,23.124,23.124
2000-03-01,23.124,23.124,23.124,23.124
2000-03-02,23.124,23.124,23.124,23.124
2000-03-03,23.124,23.124,23.124,23.124
2000-03-06,23.124,23.124,23.124,23.124
